iter	Passed	Remaining
0	1	148
1	2	144
2	4	142
3	5	133
4	7	135
5	8	135
6	10	134
7	11	132
8	13	131
9	14	129
10	15	128
11	17	127
12	18	125
13	20	124
14	21	124
15	24	127
16	25	126
17	27	123
18	28	121
19	30	120
20	31	118
21	32	116
22	34	115
23	36	114
24	37	112
25	39	111
26	40	109
27	41	107
28	43	106
29	44	104
30	46	103
31	47	101
32	49	100
33	50	98
34	52	97
35	54	96
36	55	95
37	57	93
38	58	91
39	60	90
40	61	88
41	62	85
42	63	84
43	65	82
44	66	81
45	68	79
46	69	78
47	70	76
48	72	75
49	73	73
50	75	72
51	76	70
52	78	69
53	79	67
54	81	66
55	82	64
56	83	63
57	85	61
58	86	60
59	88	58
60	89	57
61	91	55
62	92	54
63	94	52
64	95	51
65	96	49
66	98	48
67	99	46
68	101	45
69	102	43
70	103	42
71	105	40
72	106	39
73	108	38
74	111	37
75	113	35
76	114	34
77	115	32
78	116	31
79	118	29
80	119	28
81	121	26
82	122	25
83	124	23
84	125	22
85	127	20
86	128	19
87	129	17
88	131	16
89	132	14
90	134	13
91	135	11
92	137	10
93	139	8
94	141	7
95	142	5
96	143	4
97	145	2
98	146	1
99	148	0
