iter	Passed	Remaining
0	163	163279
1	165	82546
2	167	55637
3	171	42704
4	174	34660
5	176	29274
6	178	25377
7	180	22440
8	185	20374
9	187	18558
10	189	17065
11	192	15873
12	194	14797
13	198	13989
14	200	13197
15	204	12549
16	206	11955
17	209	11410
18	211	10918
19	213	10482
20	217	10150
21	220	9795
22	222	9451
23	224	9129
24	227	8854
25	228	8577
26	232	8375
27	235	8162
28	237	7947
29	239	7754
30	242	7568
31	243	7379
32	248	7289
33	251	7148
34	255	7038
35	257	6890
36	258	6736
37	262	6644
38	264	6517
39	266	6398
40	270	6330
41	272	6212
42	273	6095
43	275	5987
44	277	5886
45	279	5790
46	281	5708
47	283	5620
48	285	5544
49	287	5457
50	288	5377
51	291	5307
52	293	5237
53	294	5162
54	298	5125
55	299	5054
56	301	4987
57	303	4927
58	305	4875
59	307	4811
60	308	4748
61	311	4712
62	313	4663
63	315	4614
64	317	4565
65	319	4515
66	320	4465
67	322	4416
68	324	4376
69	326	4341
70	329	4305
71	331	4271
72	333	4228
73	334	4185
74	335	4142
75	337	4100
76	338	4061
77	340	4026
78	343	4007
79	345	3972
80	347	3945
81	349	3909
82	350	3868
83	351	3835
84	353	3807
85	356	3789
86	358	3761
87	360	3738
88	362	3708
89	363	3678
90	365	3651
91	367	3625
92	369	3599
93	371	3581
94	373	3556
95	375	3539
96	377	3513
97	379	3491
98	380	3465
99	382	3442
100	385	3426
101	387	3407
102	389	3388
103	390	3366
104	392	3343
105	393	3321
106	395	3299
107	398	3292
108	401	3284
109	403	3262
110	404	3241
111	406	3220
112	407	3198
113	408	3178
114	410	3159
115	415	3165
116	416	3144
117	418	3127
118	419	3109
119	421	3091
120	423	3073
121	424	3053
122	425	3035
123	429	3033
124	431	3018
125	433	3004
126	434	2986
127	436	2971
128	437	2956
129	439	2944
130	441	2930
131	444	2920
132	446	2908
133	448	2896
134	450	2884
135	452	2871
136	454	2861
137	455	2847
138	457	2836
139	459	2824
140	461	2810
141	462	2793
142	463	2779
143	465	2766
144	466	2752
145	469	2743
146	470	2730
147	472	2719
148	474	2710
149	476	2701
150	478	2689
151	479	2676
152	481	2665
153	482	2653
154	485	2644
155	487	2635
156	489	2628
157	491	2618
158	493	2609
159	495	2600
160	498	2600
161	504	2608
162	505	2596
163	509	2598
164	511	2589
165	513	2579
166	514	2568
167	519	2572
168	520	2561
169	523	2554
170	524	2543
171	526	2533
172	527	2522
173	529	2515
174	535	2523
175	536	2513
176	538	2503
177	539	2493
178	541	2485
179	543	2475
180	544	2466
181	546	2457
182	549	2451
183	550	2443
184	552	2435
185	554	2426
186	556	2418
187	557	2409
188	559	2400
189	564	2405
190	565	2397
191	567	2389
192	569	2381
193	571	2373
194	573	2366
195	574	2357
196	576	2350
197	579	2347
198	581	2340
199	583	2333
200	584	2325
201	586	2316
202	587	2308
203	589	2299
204	593	2301
205	595	2295
206	596	2287
207	598	2279
208	599	2270
209	602	2265
210	603	2258
211	605	2251
212	608	2246
213	609	2239
214	611	2231
215	612	2223
216	614	2216
217	616	2209
218	617	2203
219	619	2196
220	621	2191
221	623	2186
222	625	2179
223	627	2172
224	628	2165
225	630	2158
226	632	2153
227	634	2148
228	636	2142
229	638	2138
230	640	2131
231	641	2124
232	643	2117
233	645	2111
234	646	2106
235	649	2101
236	651	2096
237	652	2090
238	654	2083
239	655	2076
240	657	2069
241	658	2063
242	660	2056
243	661	2050
244	663	2045
245	665	2040
246	667	2035
247	669	2031
248	671	2024
249	672	2018
250	674	2012
251	676	2006
252	678	2002
253	680	1997
254	682	1992
255	683	1987
256	685	1981
257	686	1975
258	688	1969
259	690	1963
260	691	1959
261	696	1960
262	697	1955
263	699	1949
264	700	1944
265	702	1939
266	704	1933
267	706	1930
268	708	1925
269	710	1920
270	712	1917
271	714	1912
272	716	1907
273	717	1901
274	719	1896
275	721	1893
276	724	1890
277	727	1888
278	728	1883
279	730	1878
280	732	1873
281	733	1868
282	735	1863
283	737	1858
284	739	1854
285	742	1853
286	744	1850
287	746	1845
288	748	1841
289	750	1836
290	751	1831
291	754	1828
292	756	1825
293	758	1820
294	760	1816
295	762	1812
296	763	1808
297	767	1808
298	770	1806
299	772	1801
300	773	1796
301	777	1797
302	784	1805
